exchange,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,IEX,IEX,PorftolioValue
ticker,GBP/USD,EUR/USD,JPY/USD,CHF/USD,CAD/USD,AUD/USD,SPY,QQQ,
2019-12-13 11:55:36.227833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0
2019-12-13 11:55:38.688451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0
2019-12-13 11:55:40.657722,24.530555604451934,24.530555604451934,24.530555604451934,24.530555604451934,24.530555604451934,24.530555604451934,24.530555604451934,24.530555604451934,49999.99990622921
2019-12-13 11:55:42.663893,77.03181685464153,77.03181685464153,77.03181685464153,77.03181685464153,77.03181685464153,77.03181685464153,77.03181685464153,77.03181685464153,50000.000068498375
2019-12-13 11:55:44.677873,13.265745759326023,13.265745759326023,13.265745759326023,13.265745759326023,13.265745759326023,13.265745759326023,13.265745759326023,13.265745759326023,49999.99123148369
2019-12-13 11:55:46.652534,382.8544499159458,382.8544499159458,382.8544499159458,382.8544499159458,382.8544499159458,382.8544499159458,382.8544499159458,382.8544499159458,49999.98035302674
2019-12-13 11:55:48.627404,-101.81317049120997,-101.81317049120997,-101.81317049120997,-101.81317049120997,-101.81317049120997,-101.81317049120997,-101.81317049120997,-101.81317049120997,49999.966087342254
2019-12-13 11:55:50.669451,399.9233693675419,399.9233693675419,399.9233693675419,399.9233693675419,399.9233693675419,399.9233693675419,399.9233693675419,399.9233693675419,49999.95131925197
2019-12-13 11:55:52.747488,-327.664314213173,-327.664314213173,-327.664314213173,-327.664314213173,-327.664314213173,-327.664314213173,-327.664314213173,-327.664314213173,49999.93156903398
2019-12-13 11:55:54.650037,-317.4877626352753,-317.4877626352753,-317.4877626352753,-317.4877626352753,-317.4877626352753,-317.4877626352753,-317.4877626352753,-317.4877626352753,49999.926232837985
2019-12-13 11:55:56.677716,-84.20452062215145,-84.20452062215145,-84.20452062215145,-84.20452062215145,-84.20452062215145,-84.20452062215145,-84.20452062215145,-84.20452062215145,49999.916211200005
2019-12-13 11:55:58.654398,-463.26698980341007,-463.26698980341007,-463.26698980341007,-463.26698980341007,-463.26698980341007,-463.26698980341007,-463.26698980341007,-463.26698980341007,49999.90508588357
2019-12-13 11:56:00.681868,40.63079392993802,40.63079392993802,40.63079392993802,40.63079392993802,40.63079392993802,40.63079392993802,40.63079392993802,40.63079392993802,49999.92735806486
2019-12-13 11:56:02.660923,-7.783396990247752,-7.783396990247752,-7.783396990247752,-7.783396990247752,-7.783396990247752,-7.783396990247752,-7.783396990247752,-7.783396990247752,49999.92153271405
2019-12-13 11:56:04.641007,237.46788127299635,237.46788127299635,237.46788127299635,237.46788127299635,237.46788127299635,237.46788127299635,237.46788127299635,237.46788127299635,49999.9204145207
2019-12-13 11:56:06.687248,317.08090660727567,317.08090660727567,317.08090660727567,317.08090660727567,317.08090660727567,317.08090660727567,317.08090660727567,317.08090660727567,49999.91230099987
2019-12-13 11:56:08.682042,288.3249213962208,288.3249213962208,288.3249213962208,288.3249213962208,288.3249213962208,288.3249213962208,288.3249213962208,288.3249213962208,49999.95496015321
2019-12-13 11:56:10.722102,-466.37066472594535,-466.37066472594535,-466.37066472594535,-466.37066472594535,-466.37066472594535,-466.37066472594535,-466.37066472594535,-466.37066472594535,49999.93730269961
2019-12-13 11:56:12.646627,227.07166933342717,227.07166933342717,227.07166933342717,227.07166933342717,227.07166933342717,227.07166933342717,227.07166933342717,227.07166933342717,49999.919555599234
2019-12-13 11:56:14.690074,-195.8113240245458,-195.8113240245458,-195.8113240245458,-195.8113240245458,-195.8113240245458,-195.8113240245458,-195.8113240245458,-195.8113240245458,49999.91674146506
