exchange,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,TrueFX,IEX,IEX,PorftolioValue
ticker,GBP/USD,EUR/USD,JPY/USD,CHF/USD,CAD/USD,AUD/USD,SPY,QQQ,
2019-12-13 11:45:58.553604,0,0,0,0,0,0,0,0,50000.0
2019-12-13 11:46:00.780821,0,0,0,0,0,0,0,0,50000.0
2019-12-13 11:46:02.678442,5,5,5,5,5,5,5,5,49999.999920514485
2019-12-13 11:46:04.643682,5,5,5,5,5,5,5,5,49999.999920514485
2019-12-13 11:46:06.661935,5,5,5,5,5,5,5,5,49999.999894657834
2019-12-13 11:46:08.674236,5,5,5,5,5,5,5,5,49999.999894657834
2019-12-13 11:46:10.640880,5,5,5,5,5,5,5,5,49999.999894657834
2019-12-13 11:46:12.660152,5,5,5,5,5,5,5,5,50000.00017223884
2019-12-13 11:46:14.678603,5,5,5,5,5,5,5,5,50000.000223962146
2019-12-13 11:46:16.846438,5,5,5,5,5,5,5,5,50000.00022375429
2019-12-13 11:46:18.698022,5,5,5,5,5,5,5,5,50000.00022375429
2019-12-13 11:46:20.772963,5,5,5,5,5,5,5,5,50000.00044813066
2019-12-13 11:46:22.722263,5,5,5,5,5,5,5,5,49999.99989854641
2019-12-13 11:46:24.719998,5,5,5,5,5,5,5,5,49999.999821166435
2019-12-13 11:46:26.729443,5,5,5,5,5,5,5,5,49999.999821166435
2019-12-13 11:46:28.747207,5,5,5,5,5,5,5,5,50000.0000053295
2019-12-13 11:46:30.668479,5,5,5,5,5,5,5,5,49999.9999303295
2019-12-13 11:46:32.675908,5,5,5,5,5,5,5,5,49999.99992908219
2019-12-13 11:46:34.684324,5,5,5,5,5,5,5,5,50000.00048597909
2019-12-13 11:46:36.694725,5,5,5,5,5,5,5,5,50000.00116752077
2019-12-13 11:46:38.726578,5,5,5,5,5,5,5,5,50000.002118762146
2019-12-13 11:46:40.711313,5,5,5,5,5,5,5,5,50000.00242058489
2019-12-13 11:46:42.671148,5,5,5,5,5,5,5,5,50000.002712873196
2019-12-13 11:46:44.680835,5,5,5,5,5,5,5,5,50000.0024945937
2019-12-13 11:46:46.757188,5,5,5,5,5,5,5,5,50000.0024698016
2019-12-13 11:46:48.760542,5,5,5,5,5,5,5,5,50000.00267000948
2019-12-13 11:46:50.673147,5,5,5,5,5,5,5,5,50000.00312771701
2019-12-13 11:46:52.698033,5,5,5,5,5,5,5,5,50000.00299912088
2019-12-13 11:46:54.754063,5,5,5,5,5,5,5,5,50000.00296736443
2019-12-13 11:46:57.360328,5,5,5,5,5,5,5,5,50000.002319962805
2019-12-13 11:46:59.881377,5,5,5,5,5,5,5,5,50000.0025699628
2019-12-13 11:47:01.961301,5,5,5,5,5,5,5,5,50000.00362453695
2019-12-13 11:47:03.734153,5,5,5,5,5,5,5,5,50000.00332453695
2019-12-13 11:47:05.881477,5,5,5,5,5,5,5,5,50000.003779221806
2019-12-13 11:47:07.703797,5,5,5,5,5,5,5,5,50000.004054221805
2019-12-13 11:47:09.816869,5,5,5,5,5,5,5,5,50000.00453594231
2019-12-13 11:47:11.672405,5,5,5,5,5,5,5,5,50000.005060942305
2019-12-13 11:47:13.684787,5,5,5,5,5,5,5,5,50000.00499167578
2019-12-13 11:47:15.674289,5,5,5,5,5,5,5,5,50000.00441410505
2019-12-13 11:47:17.910136,5,5,5,5,5,5,5,5,50000.00446123557
2019-12-13 11:47:19.750827,5,5,5,5,5,5,5,5,50000.004179308155
2019-12-13 11:47:21.803557,5,5,5,5,5,5,5,5,50000.00402958036
2019-12-13 11:47:23.721755,5,5,5,5,5,5,5,5,50000.00346920634
2019-12-13 11:47:25.662019,5,5,5,5,5,5,5,5,50000.00387072702
2019-12-13 11:47:27.705991,5,5,5,5,5,5,5,5,50000.00389399845
2019-12-13 11:47:29.708849,5,5,5,5,5,5,5,5,50000.00336984891
2019-12-13 11:47:31.665835,5,5,5,5,5,5,5,5,50000.00326598444
2019-12-13 11:47:34.939909,5,5,5,5,5,5,5,5,50000.00327197857
2019-12-13 11:47:36.821474,5,5,5,5,5,5,5,5,50000.00262114705
2019-12-13 11:47:38.663820,5,5,5,5,5,5,5,5,50000.002755094625
2019-12-13 11:47:40.660361,5,5,5,5,5,5,5,5,50000.00270530251
2019-12-13 11:47:42.668111,5,5,5,5,5,5,5,5,50000.00282238455
2019-12-13 11:47:44.662942,5,5,5,5,5,5,5,5,50000.002720675075
2019-12-13 11:47:46.739526,5,5,5,5,5,5,5,5,50000.0026596825
2019-12-13 11:47:48.681581,5,5,5,5,5,5,5,5,50000.00278447461
2019-12-13 11:47:50.670650,5,5,5,5,5,5,5,5,50000.002712067195
2019-12-13 11:47:52.655093,5,5,5,5,5,5,5,5,50000.00283033814
2019-12-13 11:47:54.661196,5,5,5,5,5,5,5,5,50000.00252929874
2019-12-13 11:47:56.630616,5,5,5,5,5,5,5,5,50000.00207553426
2019-12-13 11:47:58.636930,5,5,5,5,5,5,5,5,50000.002120051395
2019-12-13 11:48:00.687889,5,5,5,5,5,5,5,5,50000.00267930385
2019-12-13 11:48:02.624151,5,5,5,5,5,5,5,5,50000.00247441255
2019-12-13 11:48:04.627715,5,5,5,5,5,5,5,5,50000.00235045195
2019-12-13 11:48:06.690610,5,5,5,5,5,5,5,5,50000.00240217736
2019-12-13 11:48:08.643603,5,5,5,5,5,5,5,5,50000.00240155373
2019-12-13 11:48:10.640898,5,5,5,5,5,5,5,5,50000.00240155373
2019-12-13 11:48:12.628924,5,5,5,5,5,5,5,5,50000.00209464735
2019-12-13 11:48:14.641453,5,5,5,5,5,5,5,5,50000.00209595384
2019-12-13 11:48:16.641838,5,5,5,5,5,5,5,5,50000.002097201126
2019-12-13 11:48:18.617475,5,5,5,5,5,5,5,5,50000.002247855155
2019-12-13 11:48:20.633276,5,5,5,5,5,5,5,5,50000.002170270986
2019-12-13 11:48:22.634668,5,5,5,5,5,5,5,5,50000.001809700334
2019-12-13 11:48:24.680749,5,5,5,5,5,5,5,5,50000.001809700334
2019-12-13 11:48:26.620139,5,5,5,5,5,5,5,5,50000.001809700334
2019-12-13 11:48:28.627868,5,5,5,5,5,5,5,5,50000.001859700336
2019-12-13 11:48:30.635794,5,5,5,5,5,5,5,5,50000.001859700336
2019-12-13 11:48:32.664064,5,5,5,5,5,5,5,5,50000.001834700335
2019-12-13 11:48:34.691747,5,5,5,5,5,5,5,5,50000.001834700335
2019-12-13 11:48:36.641992,5,5,5,5,5,5,5,5,50000.001834908224
2019-12-13 11:48:38.654375,5,5,5,5,5,5,5,5,50000.00146853703
2019-12-13 11:48:40.634136,5,5,5,5,5,5,5,5,50000.001485636734
2019-12-13 11:48:42.644800,5,5,5,5,5,5,5,5,50000.001823813545
2019-12-13 11:48:44.629395,5,5,5,5,5,5,5,5,50000.00189881354
2019-12-13 11:48:46.665104,5,5,5,5,5,5,5,5,50000.001948813544
2019-12-13 11:48:48.672220,5,5,5,5,5,5,5,5,50000.001767289745
2019-12-13 11:48:50.652878,5,5,5,5,5,5,5,5,50000.00174291338
2019-12-13 11:48:52.651385,5,5,5,5,5,5,5,5,50000.00194291338
2019-12-13 11:48:54.659654,5,5,5,5,5,5,5,5,50000.00161791338
2019-12-13 11:48:56.651293,5,5,5,5,5,5,5,5,50000.00163233769
2019-12-13 11:48:58.644064,5,5,5,5,5,5,5,5,50000.0012047776
2019-12-13 11:49:00.658858,5,5,5,5,5,5,5,5,50000.00073300328
2019-12-13 11:49:02.637625,5,5,5,5,5,5,5,5,50000.00070415401
2019-12-13 11:49:04.669238,5,5,5,5,5,5,5,5,50000.00040588257
2019-12-13 11:49:06.682862,5,5,5,5,5,5,5,5,50000.00050588257
2019-12-13 11:49:08.738281,5,5,5,5,5,5,5,5,50000.00053088257
2019-12-13 11:49:10.641358,5,5,5,5,5,5,5,5,50000.00051604252
2019-12-13 11:49:12.729440,5,5,5,5,5,5,5,5,50000.00051645827
2019-12-13 11:49:14.623366,5,5,5,5,5,5,5,5,49999.9999147297
2019-12-13 11:49:16.637781,5,5,5,5,5,5,5,5,49999.99992915401
2019-12-13 11:49:18.763381,5,5,5,5,5,5,5,5,49999.99992873827
