time,exchange,ticker,bid,ask,bidsize,asksize
2019-12-11 15:32:35.852,TrueFX,EUR/USD,1.10942,1.10943,100,100
2019-12-11 15:32:41.855,TrueFX,USD/JPY,108.679,108.681,100,100
2019-12-11 15:32:41.879,TrueFX,GBP/USD,1.31798,1.31805,100,100
2019-12-11 15:32:41.900,TrueFX,EUR/GBP,0.84172,0.84176,100,100
2019-12-11 15:32:38.024,TrueFX,USD/CHF,0.98589,0.98595,100,100
2019-12-11 15:32:41.855,TrueFX,EUR/JPY,120.57,120.576,100,100
2019-12-11 15:32:40.787,TrueFX,EUR/CHF,1.09379,1.09384,100,100
2019-12-11 15:32:41.364,TrueFX,USD/CAD,1.32201,1.32208,100,100
2019-12-11 15:32:28.356,TrueFX,AUD/USD,0.68511,0.68514,100,100
2019-12-11 15:32:41.872,TrueFX,GBP/JPY,143.241,143.249,100,100
2019-12-11 15:32:42.025,IEX,SPY,314.14,314.17,200,100
2019-12-11 15:32:41.730,IEX,QQQ,204.54,204.56,100,100
2019-12-11 15:32:43.136,TrueFX,EUR/USD,1.10941,1.10943,100,100
2019-12-11 15:32:43.134,TrueFX,USD/JPY,108.68,108.684,100,100
2019-12-11 15:32:43.136,TrueFX,USD/CHF,0.9859,0.98595,100,100
2019-12-11 15:32:43.215,TrueFX,EUR/JPY,120.572,120.579,100,100
2019-12-11 15:32:43.263,TrueFX,EUR/CHF,1.09377,1.09381,100,100
2019-12-11 15:32:43.169,TrueFX,GBP/JPY,143.241,143.249,100,100
2019-12-11 15:32:44.143,IEX,SPY,314.16,314.18,100,200
2019-12-11 15:32:44.132,IEX,QQQ,204.54,204.56,100,100
2019-12-11 15:32:44.337,TrueFX,EUR/USD,1.10941,1.10942,100,100
2019-12-11 15:32:44.749,TrueFX,USD/CHF,0.98592,0.98595,100,100
2019-12-11 15:32:45.999,IEX,SPY,314.16,314.18,200,200
2019-12-11 15:32:45.948,IEX,QQQ,204.54,204.58,100,100
2019-12-11 15:32:45.731,TrueFX,EUR/USD,1.10939,1.10942,100,100
2019-12-11 15:32:45.903,TrueFX,USD/CHF,0.9859,0.98595,100,100
2019-12-11 15:32:46.346,TrueFX,EUR/JPY,120.57,120.576,100,100
2019-12-11 15:32:45.638,TrueFX,EUR/CHF,1.09377,1.09383,100,100
2019-12-11 15:32:46.743,TrueFX,AUD/USD,0.6851,0.68514,100,100
